split_name,train_runs,val_runs,n_train,n_val,accuracy,macro_f1,mae,rmse,r2,best_val_loss
fold_leave_run_2,13 14 15 16 17 18,2,1500,250,0.844,0.792777854274538,2.0226728916168213,2.699991226196289,0.9176445349479035,0.43790876865386963
fold_leave_run_13,2 14 15 16 17 18,13,1500,250,0.868,0.8271798174710797,2.261300802230835,2.896623134613037,0.9118673511415295,0.4075148105621338
fold_leave_run_14,2 13 15 16 17 18,14,1500,250,0.888,0.8631662706182653,2.0259041786193848,2.6678266525268555,0.9257445883649214,0.38713106513023376
fold_leave_run_15,2 13 14 16 17 18,15,1500,250,0.88,0.834174966217907,2.0860111713409424,2.7686712741851807,0.9220312835857425,0.3622240722179413
fold_leave_run_16,2 13 14 15 17 18,16,1500,250,0.896,0.8599620132953465,2.1133625507354736,2.8223366737365723,0.929263590933067,0.34098267555236816
fold_leave_run_17,2 13 14 15 16 18,17,1500,250,0.844,0.80406362475328,2.1184804439544678,2.831488609313965,0.9153954584682445,0.46825307607650757
fold_leave_run_18,2 13 14 15 16 17,18,1500,250,0.88,0.8416904083570751,2.1261234283447266,2.7374539375305176,0.9264679197637622,0.39741262793540955
